Source File Name:	small_signal_Bridge_new
Signal:	FFT - Vib & Ref1 H1 Velocity / Voltage - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s / V ]	[ ° ]
62.5	0.0004742349	3.44682
125	0.003353307	73.77993
187.5	0.005597423	64.989
250	0.005544465	85.55081
312.5	0.008721686	85.17585
375	0.009697948	87.81539
437.5	0.01295831	80.0491
500	0.01454739	93.70657
562.5	0.01687537	89.7841
625	0.01956172	86.88137
687.5	0.02448586	84.98863
750	0.02279624	92.98721
812.5	0.02622744	79.31161
875	0.02692221	88.86279
937.5	0.03008803	89.3718
1000	0.03180864	86.77724
1062.5	0.03846345	87.48142
1125	0.03941321	90.96564
1187.5	0.0430191	91.44245
1250	0.04486071	88.43515
1312.5	0.05224358	84.32391
1375	0.05258389	85.37426
1437.5	0.05751797	87.11793
1500	0.05738153	87.38177
1562.5	0.06550393	83.64526
1625	0.07254214	87.79256
1687.5	0.07327064	87.42803
1750	0.07697948	89.09194
1812.5	0.09233409	90.63786
1875	0.1031559	87.36163
1937.5	0.1059897	84.26046
2000	0.1196103	84.74451
2062.5	0.1161231	84.78367
2125	0.1256364	87.31939
2187.5	0.135793	87.92895
2250	0.1589312	87.30254
2312.5	0.1772164	91.69122
2375	0.197331	90.07724
2437.5	0.2285501	88.95208
2500	0.2652376	89.25841
2562.5	0.306815	87.00365
2625	0.3823683	86.65804
2687.5	0.449144	83.70182
2750	0.550956	84.96886
2812.5	0.7517295	85.18832
2875	1.227316	83.44336
2937.5	2.602678	82.13967
3000	10.8907	-63.42399
3062.5	1.899566	-85.51797
3125	1.049022	-88.89358
3187.5	0.7212178	-91.09355
3250	0.5547359	-93.13498
3312.5	0.449517	-93.8914
3375	0.3764622	-94.02939
3437.5	0.3312184	-91.72109
3500	0.2973515	-92.54513
3562.5	0.2648965	-90.73192
3625	0.2477591	-89.80204
3687.5	0.2232278	-89.51855
3750	0.2133672	-91.37576
3812.5	0.1963202	-92.24986
3875	0.1814796	-92.13639
3937.5	0.1644429	-93.27937
4000	0.1617453	-94.94341
4062.5	0.1524952	-92.36046
4125	0.1453196	-94.47379
4187.5	0.1414414	-89.92075
4250	0.1354887	-91.49632
4312.5	0.1276978	-91.35503
4375	0.1260229	-92.48735
4437.5	0.1177869	-93.20347
4500	0.1179882	-92.26973
4562.5	0.1105442	-93.21191
4625	0.1108651	-94.15186
4687.5	0.1013033	-93.1164
4750	0.1004033	-92.53663
4812.5	0.09425507	-93.67102
4875	0.09298557	-91.56959
4937.5	0.09028494	-92.63213
5000	0.0864642	-93.96828
5062.5	0.0838595	-95.02728
5125	0.06766389	-86.35231
5187.5	0.09914254	-89.94933
5250	0.08965129	-92.68655
5312.5	0.08482321	-95.21583
5375	0.08100915	-93.77545
5437.5	0.07747487	-93.85367
5500	0.07965166	-94.35949
5562.5	0.07608934	-93.16356
5625	0.07558426	-93.88395
5687.5	0.07450468	-92.55537
5750	0.07050242	-92.87745
5812.5	0.07057416	-95.04932
5875	0.06806134	-96.9409
5937.5	0.06395643	-108.1886
6000	0.05838169	-73.75661
6062.5	0.06513982	-86.339
6125	0.06635865	-88.68395
6187.5	0.06503668	-90.0556
6250	0.06098027	-89.50089
6312.5	0.0610214	-91.00198
6375	0.06148718	-91.37475
6437.5	0.05706903	-91.22019
6500	0.05848994	-92.57298
6562.5	0.05622046	-95.13696
6625	0.05481316	-93.15856
6687.5	0.05171221	-93.86655
6750	0.04886894	-90.77568
6812.5	0.04810616	-90.34258
6875	0.04719998	-87.3827
6937.5	0.04191742	-87.617
7000	0.04127802	-88.50053
7062.5	0.03634618	-84.44017
7125	0.02545721	-73.97829
7187.5	0.02227587	10.98149
7250	0.2307087	-32.12643
7312.5	0.1127577	-83.33183
7375	0.08371828	-87.67122
7437.5	0.07584829	-89.86137
7500	0.070664	-91.13435
7562.5	0.06460027	-90.96851
7625	0.06417333	-91.9128
7687.5	0.06353944	-91.84335
7750	0.06351153	-92.94744
7812.5	0.0582496	-91.13963
7875	0.05812413	-92.20355
7937.5	0.0570394	-94.16164
8000	0.05609376	-93.15074
8062.5	0.05396971	-91.41701
8125	0.05451045	-92.62424
8187.5	0.05260065	-92.66575
8250	0.05286836	-90.44706
8312.5	0.05407828	-92.13939
8375	0.05267755	-92.34823
8437.5	0.04978465	-93.85666
8500	0.05006775	-93.64017
8562.5	0.0502961	-94.89126
8625	0.04880606	-94.29839
8687.5	0.04988481	-94.89432
8750	0.04887953	-92.28958
8812.5	0.04838063	-91.98121
8875	0.04860219	-91.93757
8937.5	0.04518932	-101.8121
9000	0.05452265	-88.21565
9062.5	0.04813608	-91.15738
9125	0.04800951	-92.19312
9187.5	0.04777294	-93.58772
9250	0.048099	-92.53892
9312.5	0.04730402	-91.27608
9375	0.04814125	-90.93233
9437.5	0.04673863	-93.88405
9500	0.04575458	-91.339
9562.5	0.04537567	-94.31503
9625	0.04467132	-94.94527
9687.5	0.04406063	-93.85232
9750	0.04682218	-94.45525
9812.5	0.04438327	-93.7291
9875	0.04321979	-92.76731
9937.5	0.04304208	-93.79198
10000	0.04334442	-92.81319
10062.5	0.04290275	-93.09403
10125	0.04347975	-92.46777
10187.5	0.04360814	-93.18782
10250	0.0429251	-94.8353
10312.5	0.0435889	-92.73782
10375	0.04138512	-91.56816
10437.5	0.04095736	-92.82868
10500	0.04202123	-91.69819
10562.5	0.04158071	-92.37702
10625	0.04265608	-93.36328
10687.5	0.04123692	-92.26711
10750	0.04337024	-92.55515
10812.5	0.04282824	-90.96393
10875	0.04051247	-94.39518
10937.5	0.04115433	-92.75818
11000	0.04102739	-93.94942
11062.5	0.03987855	-95.28898
11125	0.041277	-94.26952
11187.5	0.04141785	-92.22649
11250	0.04112346	-93.00697
11312.5	0.03954541	-95.24989
11375	0.04091028	-95.27242
11437.5	0.03879843	-95.83555
11500	0.03960427	-94.04057
11562.5	0.03889334	-95.55509
11625	0.03940433	-95.4957
11687.5	0.03891407	-95.38592
11750	0.03931212	-94.10412
11812.5	0.03868189	-93.44398
11875	0.03778037	-95.98788
11937.5	0.03768443	-100.1728
12000	0.03898269	-90.20275
12062.5	0.03853082	-94.11412
12125	0.03944647	-93.67105
12187.5	0.03809156	-93.46037
12250	0.03841902	-93.62287
12312.5	0.0392172	-93.5201
12375	0.03863553	-92.58181
12437.5	0.03811152	-94.84399
12500	0.03820151	-93.91294
12562.5	0.03861464	-94.07785
12625	0.03916641	-95.08462
12687.5	0.03804728	-95.71427
12750	0.03835131	-93.39941
12812.5	0.03766528	-95.75985
12875	0.0365957	-92.82699
12937.5	0.03752503	-96.64413
13000	0.03689452	-95.02471
13062.5	0.03601351	-96.68998
13125	0.03669361	-95.50881
13187.5	0.03663246	-95.63364
13250	0.03594929	-94.0224
13312.5	0.03610486	-95.10037
13375	0.03472474	-92.34715
13437.5	0.03554555	-94.07335
13500	0.03677421	-93.14066
13562.5	0.03646523	-94.04749
13625	0.0366663	-95.04991
13687.5	0.03683263	-93.4552
13750	0.0364803	-92.52359
13812.5	0.03618612	-93.51707
13875	0.0349974	-94.77501
13937.5	0.0358057	-96.22409
14000	0.03629437	-95.75893
14062.5	0.03667724	-94.14187
14125	0.03708124	-93.24623
14187.5	0.0375822	-94.12215
14250	0.03690453	-93.35492
14312.5	0.0368681	-95.11267
14375	0.03572984	-94.52883
14437.5	0.03561308	-95.3084
14500	0.03556145	-95.37975
14562.5	0.03585991	-95.55264
14625	0.03618949	-94.89626
14687.5	0.0360343	-96.3642
14750	0.03496752	-96.08511
14812.5	0.03428454	-95.8888
14875	0.03371677	-99.16972
14937.5	0.03376578	-88.73057
15000	0.03561271	-100.0346
15062.5	0.03397888	-98.99776
15125	0.03331278	-97.53862
15187.5	0.03294127	-96.85654
15250	0.03286086	-93.25475
15312.5	0.03300386	-94.49187
15375	0.03292044	-94.67212
15437.5	0.03229763	-94.52534
15500	0.03364268	-95.49387
15562.5	0.03359633	-96.43681
15625	0.03228136	-92.4893
15687.5	0.03300164	-93.22746
15750	0.03220625	-93.58578
15812.5	0.03222987	-95.79417
15875	0.03113088	-95.75407
15937.5	0.03222391	-96.36953
16000	0.03232806	-94.6005
16062.5	0.03276038	-94.91499
16125	0.03275009	-95.53712
16187.5	0.03224297	-94.0023
16250	0.03074624	-94.49842
16312.5	0.0302783	-96.59051
16375	0.03085896	-95.85067
16437.5	0.03095837	-96.0349
16500	0.03036203	-96.34827
16562.5	0.03086546	-95.10841
16625	0.0301982	-96.42391
16687.5	0.02884009	-96.29554
16750	0.02805394	-94.33942
16812.5	0.02859986	-97.07921
16875	0.0283342	-96.06023
16937.5	0.02829118	-96.03624
17000	0.02836774	-96.55417
17062.5	0.02903756	-94.23866
17125	0.02747728	-95.59108
17187.5	0.02694159	-94.13982
17250	0.02692058	-93.78661
17312.5	0.02681157	-92.67841
17375	0.0278658	-95.1952
17437.5	0.02726283	-93.72991
17500	0.02712297	-94.29815
17562.5	0.02748236	-93.77576
17625	0.02682138	-94.93969
17687.5	0.0266734	-95.68659
17750	0.02571819	-95.94254
17812.5	0.02536746	-95.88287
17875	0.02611383	-96.98164
17937.5	0.02368363	-99.0639
18000	0.0253676	-95.83582
